----------------------------------------
101051,Astra,601011,Pošta
100021,Razstavišče,600011,Bavarski dvor (Korabar)
600012,Bavarski dvor (Kozolec),100022,Razstavišče
600022,Ajdovščina,101052,Astra
601012,Konzorcij,102042,Stadion
602022,Drama,102082,Mercator
602052,Aškerčeva,103032,AMZS
602042,Tobačna,103072,Smelt
602032,Hajdrihova,103102,Stožice
703072,Stan in dom,103132,Ruski car
703082,Glince,104032,Ježica
703092,Vič,104052,Sava
703102,Bonifacija,104102,Kolodvor Črnuče
703112,Dolgi most,104112,Rogovile
704172,T ržaška,104161,Črnuče
704012,Dolgi most - obračališče izstop,,
704011,Dolgi most - obračališče,,
----------------------------------------
6B,Črnuče - Notranje Gorice,6B,Notranje Gorice - Črnuče
104161,Črnuče,745041,Notranje Gorice
104111,Rogovile,745031,Mostiček
104101,Kolodvor Črnuče,745021,Erbežnik
104051,Sava,744021,Japelj
104031,Ježica,744011,Šolska
103131,Ruski car,704081,Pri Poku
103101,Stožice,704061,Na Gmajnici
103071,Smelt,704101,Kozarje
103031,AMZS,704051,Dolgi most Rotar
102081,Mercator,704171,Tržaška
